id,zip_code,price,bds,ba,sqft,sold_year,sold_month,sold_day,type,year_built,heating,cooling,parking,pets,laundry,flooring,appliances,view_city,view_mountain,view_park,view_water,most_recent_listing_date,most_recent_listing_price,sold_time,listing_sold_time_diff,price_percent_change
"['1779', 'Madison', 'Ave', 'APT', '402']",NY 10035,171500,1,1,535,2020,2,27,Condo,1910,,,0 spaces,,,,,0,0,1,0,10/6/2019 0:00,321000,2/27/2020,144,-0.465732087
"['81', 'Irving', 'Pl', '14CD']",NY 10003,2650000,2,2,,2020,2,27,Condo,1930,,,Covered,,,,"Appliances included: Dryer, Washer",1,0,1,0,9/17/2019 0:00,2775000,2/27/2020,163,-0.045045045
"['322', 'W', '57th', 'St', '34M1']",NY 10019,2380000,2,3,1355,2020,2,26,Condo,1978,Forced air,Central,"Garage, Garage - Attached",,,,"Appliances included: Dishwasher, Dryer, Washer",0,0,1,0,10/29/2019 0:00,2700000,2/26/2020,120,-0.118518519
"['417', 'Park', 'Ave', 'APT', '3', 'W']",NY 10022,7480000,3,5,3597,2020,2,24,Condo,1916,,Central,0 spaces,,,,Appliances included: Dishwasher,0,0,1,0,4/30/2014 0:00,6300000,2/24/2020,2126,0.187301587
"['77', 'Bleecker', 'St', 'APT', '209']",NY 10012,915000,1,1,,2020,2,19,Condo,1930,,Central,0 spaces,,,Flooring: Hardwood,"Appliances included: Dishwasher, Microwave, Range / Oven, Refrigerator",0,0,1,0,9/26/2019 0:00,915000,2/19/2020,146,0
"['40', 'E', '94th', 'St', 'APT', '27B']",NY 10128,2450000,2,2,1300,2020,2,18,Condo,1984,,,0 spaces,,,,,0,0,1,0,8/23/2019 0:00,2695000,2/18/2020,179,-0.090909091
"['335', 'Greenwich', 'St', 'APT', '5A']",NY 10013,1850000,2,2,1600,2020,2,18,Condo,1931,,,0 spaces,,,,"Appliances included: Dishwasher, Dryer, Washer",1,0,1,0,10/4/2019 0:00,1850000,2/18/2020,137,0
"['210', 'Central', 'Park', '10A']",NY 10019,2670000,2,2,1200,2020,2,18,Condo,1968,,Central,Covered,,,,Other interior features,1,0,1,0,3/28/2018 0:00,3250000,2/18/2020,692,-0.178461538
"['880', '5th', 'Ave', 'APT', '14C']",NY 10021,2200000,1,2,,2020,2,10,Condo,1948,,Central,0 spaces,,,,See more facts and features,0,0,1,0,4/29/2019 0:00,2495000,2/10/2020,287,-0.118236473
"['140', 'Riverside', 'Dr', '10D']",NY 10024,955000,1,1,1050,2020,2,7,Condo,1939,,,Covered,,,,Appliances included: Dishwasher,1,0,1,1,5/20/2019 0:00,1175000,2/7/2020,263,-0.187234043
"['80', 'Central', 'Park', '15E']",NY 10023,1840000,1,2,,2020,2,6,Condo,1968,,,Covered,,,,,1,0,1,0,10/27/2019 0:00,1895000,2/6/2020,102,-0.029023747
"['478', 'Central', 'Park', 'W', 'APT', '7A']",NY 10025,2300000,3,2,1521,2020,2,6,Condo,1900,,Central,0 spaces,,,,Other interior features,0,0,1,0,5/9/2019 0:00,2550000,2/6/2020,273,-0.098039216
"['530', 'E', '76th', 'St', '36LIL']",NY 10021,4150000,3,4,3000,2020,2,5,Condo,1986,,,Covered,,,,"Appliances included: Dishwasher, Dryer, Washer",0,0,1,1,6/27/2019 0:00,4495000,2/5/2020,223,-0.076751947
"['151', 'E', '58th', 'St', 'APT', '47D']",NY 10022,9300000,3,4,2936,2020,2,5,Condo,2003,,Central,0 spaces,,,,Other interior features,0,0,1,1,3/3/2019 0:00,12500000,2/5/2020,339,-0.256
"['900', 'Park', 'Ave', 'APT', '25E']",NY 10075,3350000,2,3,1300,2020,2,4,Condo,1973,,Central,0 spaces,,,,Other interior features,1,0,1,0,5/3/2019 0:00,3695000,2/4/2020,277,-0.093369418
"['432', 'Park', 'Ave', 'APT', '62A']",NY 10022,22600000,3,5,4019,2020,2,3,Condo,2015,,,Covered,,,,"Appliances included: Dryer, Washer",0,0,1,0,4/9/2019 0:00,28000000,2/3/2020,300,-0.192857143
"['301', 'W', '57th', 'St', 'APT', '3AA']",NY 10019,839000,1,1,567,2020,1,29,Condo,1987,,,0 spaces,,,Flooring: Hardwood,Other interior features,1,0,1,0,5/28/2019 0:00,899000,1/29/2020,246,-0.066740823
"['70', 'E', '10th', 'St', 'APT', '5S']",NY 10003,2330000,2,2,1500,2020,1,24,Condo,1960,,,Covered,,,,Appliances included: Dishwasher,1,0,1,0,4/4/2019 0:00,2595000,1/24/2020,295,-0.102119461
"['220', 'Riverside', 'Blvd', 'APT', '8V']",NY 10069,825000,1,1,707,2020,1,23,Condo,2000,"Gas, Oil",Central,"Garage - Detached, Covered",,,,"Appliances included: Microwave, Range / Oven, Refrigerator, Washer",1,0,1,1,9/27/2018 0:00,999000,1/23/2020,483,-0.174174174
"['825', 'W', '179th', 'St', 'APT', '2C']",NY 10033,525000,3,1,43536,2020,1,23,Condo,1930,,,0 spaces,,,,,0,0,1,0,4/9/2019 0:00,525000,1/23/2020,289,0
"['160', 'W', 'End', 'Ave', 'APT', '4G']",NY 10023,495000,,4,,2020,1,22,Condo,1963,Gas,,Covered,,,,,0,0,1,0,9/18/2019 0:00,499000,1/22/2020,126,-0.008016032
"['225', 'W', '83rd', 'St', 'APT', '16D']",NY 10024,899000,1,1,696,2020,1,22,Condo,1985,,,0 spaces,,,,,1,0,1,0,9/26/2019 0:00,899000,1/22/2020,118,0
"['212', 'Warren', 'St', 'APT', '9A']",NY 10282,2130000,3,3,1441,2020,1,17,Condo,2001,,Central,0 spaces,,,,,1,0,1,0,8/15/2018 0:00,2645000,1/17/2020,520,-0.194706994
"['200', 'W', 'End', 'Ave', 'APT', '15F']",NY 10023,5080000,4,4,2847,2020,1,16,Condo,2006,,Central,0 spaces,,,,Other interior features,1,0,1,1,8/10/2019 0:00,6895000,1/16/2020,159,-0.263234228
"['101', 'W', '79th', 'St', 'APT', '6D']",NY 10024,2350000,2,2,1214,2020,1,15,Condo,1986,,,Covered,,,,,0,0,1,0,10/2/2019 0:00,2350000,1/15/2020,105,0
"['342', 'W', '21st', 'St', 'APT', '6B']",NY 10011,690000,1,1,650,2020,1,15,Condo,1940,,,Covered,,,,,1,0,1,0,7/18/2019 0:00,698000,1/15/2020,181,-0.011461318
"['333', 'E', '43rd', 'St', 'APT', '502']",NY 10017,495000,1,1,,2020,1,13,Condo,1928,,,Garage - Attached,,,,,0,0,1,0,9/11/2019 0:00,499000,1/13/2020,124,-0.008016032
"['7', 'W', '96th', 'St', 'APT', '17D']",NY 10025,1200000,2,2,,2020,1,10,Condo,1930,,,Covered,,,,Appliances included: Dishwasher,0,0,1,0,2/26/2019 0:00,1375000,1/10/2020,318,-0.127272727
"['25', 'Tudor', 'City', 'Pl', 'APT', '517']",NY 10017,300000,,,,2019,12,30,Condo,1928,,,0 spaces,,,,,0,0,1,0,4/21/2019 0:00,330000,12/30/2019,253,-0.090909091
"['1725', 'York', 'Ave', 'APT', '7C']",NY 10128,999000,2,2,1025,2020,12,18,Condo,1971,Gas,,Covered,,,,,1,0,0,1,9/5/2020 0:00,1100000,12/18/2020,104,-0.091818182
"['444', 'W', '19th', 'St', 'APT', '603']",NY 10011,995000,1,1,737,2020,12,16,Condo,2004,,Central,"Garage - Attached, Covered",,,,Other interior features,1,0,0,1,4/29/2020 0:00,1249500,12/16/2020,231,-0.203681473
"['2', 'Beekman', 'Pl', '6B']",NY 10022,520000,1,1,,2020,12,11,Condo,1931,,Central,0 spaces,,,,Appliances included: Dishwasher,0,0,0,1,7/16/2020 0:00,569000,12/11/2020,148,-0.086115993
"['5', 'Riverside', 'Dr', '12A']",NY 10023,2350000,2,2,,2020,12,10,Condo,1937,,Central,Covered,,,,Appliances included: Dishwasher,0,0,0,1,5/30/2020 0:00,2495000,12/10/2020,194,-0.058116232
"['245', 'E', '93rd', 'St', 'APT', '30A']",NY 10128,1180000,2,2,967,2020,12,9,Condo,1985,,Central,Covered,,,,Other interior features,1,0,0,1,6/23/2020 0:00,1295000,12/9/2020,169,-0.088803089
"['630', '1st', 'Ave', 'APT', '15D']",NY 10016,1200000,1,2,1001,2020,12,7,Condo,1985,,,"Garage - Attached, Covered",,,,Appliances included: Dishwasher,0,0,0,1,9/25/2018 0:00,1295000,12/7/2020,804,-0.073359073
"['80', 'Riverside', 'Blvd', 'APT', '21B']",NY 10069,2500000,3,3,1712,2020,12,3,Condo,2006,,Central,"Garage - Attached, Covered",,,,Other interior features,1,0,0,1,6/28/2020 0:00,2995000,12/3/2020,158,-0.165275459
"['245', 'E', '93rd', 'St', 'APT', '14J']",NY 10128,1120000,2,2,973,2020,12,2,Condo,1985,,Central,"Garage - Attached, Covered",,,,Other interior features,0,0,0,1,7/20/2020 0:00,1250000,12/2/2020,135,-0.104
"['123', 'Washington', 'St', 'APT', '51D']",NY 10006,1380000,2,2,1023,2020,11,30,Condo,2010,,Central,0 spaces,,,,Other interior features,1,0,0,1,10/18/2019 0:00,2000000,11/30/2020,409,-0.31
"['212', 'Warren', 'St', 'APT', '16L']",NY 10282,4800000,5,5,2988,2020,11,27,Condo,2001,,Central,"None, Covered",,,,"Appliances included: Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",1,0,0,1,1/22/2020 0:00,5225000,11/27/2020,310,-0.081339713
"['88', 'Greenwich', 'St', 'APT', '516']",NY 10006,730000,1,1,608,2020,11,24,Condo,1929,"Heat pump, Electric, Gas",Central,None,,,,"Appliances included: Dishwasher, Freezer, Microwave, Range / Oven, Refrigerator",1,0,0,1,11/20/2019 0:00,735000,11/24/2020,370,-0.006802721
"['220', 'Riverside', 'Blvd', '31DT']",NY 10069,2980000,3,3,1915,2020,11,20,Condo,2000,Gas,Central,Covered,,,,Other interior features,1,0,0,1,6/28/2020 0:00,3495000,11/20/2020,145,-0.147353362
"['130', 'Barrow', 'St', 'APT', '317']",NY 10014,1620000,1,1,900,2020,11,19,Condo,1931,,,0 spaces,,,Flooring: Hardwood,Other interior features,1,0,0,1,8/1/2020 0:00,1795000,11/19/2020,110,-0.097493036
"['645', 'W', 'End', 'Ave', 'APT', '7E']",NY 10025,1300000,2,2,1200,2020,11,18,Condo,1913,,,On-street,,,Flooring: Hardwood,Other interior features,0,0,0,1,10/3/2019 0:00,1599000,11/18/2020,412,-0.18699187
"['100', 'W', '18th', 'St', 'APT', '3E']",NY 10011,1520000,1,2,871,2020,11,18,Condo,2008,,,0 spaces,,,,"Appliances included: Dishwasher, Dryer, Washer",0,0,0,1,5/30/2020 0:00,1675000,11/18/2020,172,-0.092537313
"['10', 'Mitchell', 'Pl', 'APT', '4A']",NY 10017,590000,1,1,,2020,11,17,Condo,1932,"Radiant, Electric",Wall,0 spaces,,,Flooring: Hardwood,"Appliances included: Microwave, Range / Oven, Refrigerator",1,0,0,1,8/27/2020 0:00,620000,11/17/2020,82,-0.048387097
"['360', 'W', '22nd', 'St']",NY 10011,1720000,1,1,184677,2020,11,17,Condo,1961,,,Garage - Attached,,,Flooring: Hardwood,Other interior features,1,0,0,1,,,11/17/2020,no listing date,
"['304', 'E', '65th', 'St', 'APT', '34C']",NY 10065,1600000,2,2,1000,2020,11,17,Condo,1987,,,Covered,,,,,0,0,0,1,6/17/2020 0:00,1800000,11/17/2020,153,-0.111111111
"['870', 'United', 'Nations', 'Plz']",NY 10017,2000000,4,5,443522,2020,11,17,Condo,1966,,Central,0 spaces,,,,Other interior features,1,0,0,1,3/17/2019 0:00,5750000,11/17/2020,611,-0.652173913
"['350', 'W', '42nd', 'St', 'APT', '44H']",NY 10036,1220000,1,1,794,2020,11,16,Condo,2004,Forced air,Other,Garage - Attached,,,,"Appliances included: Dryer, Washer",1,0,0,1,12/3/2019 0:00,1290000,11/16/2020,349,-0.054263566
"['460', 'E', '79th', 'St', 'APT', '18E']",NY 10075,1400000,2,2,1149,2020,11,16,Condo,1957,,,Covered,,,,"Appliances included: Dishwasher, Dryer, Washer",1,0,0,1,7/23/2019 0:00,1790000,11/16/2020,482,-0.217877095
"['205', 'W', 'End', 'Ave', 'APT', '22N']",NY 10023,1680000,2,2,566824,2020,11,9,Condo,1962,,,0 spaces,,,,Appliances included: Dishwasher,1,0,0,1,7/2/2020 0:00,1750000,11/9/2020,130,-0.04
"['345', 'W', '70th', 'St', 'APT', '6A']",NY 10023,1410000,2,2,1250,2020,11,6,Condo,1910,,,On-street,,,Flooring: Tile,Other interior features,1,0,0,1,10/27/2014 0:00,1345000,11/6/2020,2202,0.048327138
"['860', '866', 'United', 'Nations', 'Plz']",NY 10017,2210000,4,4,3885,2020,11,5,Condo,1966,,,Garage - Attached,,,,"Appliances included: Dishwasher, Dryer, Washer",1,0,0,1,7/11/2018 0:00,4850000,11/5/2020,848,-0.544329897
"['645', 'W', 'End', 'Ave']",NY 10025,2510000,3,2,1300,2020,11,5,Condo,1912,,,0 spaces,,,,,0,0,0,1,,,11/5/2020,no listing date,
"['515', 'E', '72nd', 'St', 'APT', '27E']",NY 10021,1420000,2,2,976,2020,11,4,Condo,1985,,,"Garage - Attached, Covered",,,Flooring: Hardwood,Other interior features,1,0,0,1,7/7/2020 0:00,1695000,11/4/2020,120,-0.162241888
"['304', 'E', '65th', 'St', 'APT', '25C']",NY 10065,860000,1,1,770,2020,10,26,Condo,1987,,Central,Covered,,,,"Appliances included: Dishwasher, Microwave, Range / Oven, Refrigerator",0,0,0,1,7/2/2020 0:00,875000,10/26/2020,116,-0.017142857
"['415', 'E', '52nd', 'St']",NY 10022,765000,2,2,1250,2020,10,23,Condo,1956,"Radiant, Oil",Wall,"Garage, Garage - Attached, Covered",,,"Flooring: Tile, Hardwood","Appliances included: Dishwasher, Freezer, Range / Oven, Refrigerator",1,0,0,1,10/31/2020 0:00,1100000,10/23/2020,-8,-0.304545455
"['20', 'West', 'St', 'APT', '34A']",NY 10004,545000,1,1,530,2020,10,22,Condo,1930,,Central,Covered,,,,Other interior features,0,0,0,1,7/6/2020 0:00,599000,10/22/2020,108,-0.09015025
"['99', 'Battery', 'Pl', 'APT', '14G']",NY 10280,1400000,2,2,1202,2020,10,14,Condo,1988,,,Covered,,,,Appliances included: Dishwasher,1,0,0,1,12/6/2019 0:00,1875000,10/14/2020,313,-0.253333333
"['330', 'E', '38th', 'St', 'APT', '35E']",NY 10016,1540000,2,2,1171,2020,10,14,Condo,1989,,,"Garage - Attached, Covered",,,,"Appliances included: Dryer, Washer",1,0,0,1,2/10/2020 0:00,1625000,10/14/2020,247,-0.052307692
"['150', 'Charles', 'St', 'APT', '8AN']",NY 10014,9500000,3,4,2957,2020,10,9,Condo,2013,,Central,"Garage - Detached, Covered",,,,Other interior features,0,0,0,1,1/5/2020 0:00,12950000,10/9/2020,278,-0.266409266
"['185', 'Park', 'Row']",NY 10038,1300000,1,1,800,2020,9,29,Condo,1960,,,0 spaces,,,,,1,0,0,1,12/15/2015 0:00,680000,9/29/2020,1750,0.911764706
"['166', 'E', '35th', 'St', 'APT', '7D']",NY 10016,420000,,,,2020,9,29,Condo,1956,Radiant,Wall,0 spaces,,,Flooring: Hardwood,"Appliances included: Range / Oven, Refrigerator",0,0,0,1,3/10/2020 0:00,449000,9/29/2020,203,-0.064587973
"['33', 'E', 'End', 'Ave', 'APT', '9C']",NY 10028,750000,1,1,,2020,9,23,Condo,1942,,,0 spaces,,,,Appliances included: Dishwasher,0,0,0,1,7/19/2020 0:00,850000,9/23/2020,66,-0.117647059
"['1601', '3rd', 'Ave', 'APT', '19D']",NY 10128,835000,2,1,814,2020,9,17,Condo,1975,,,0 spaces,,,,Appliances included: Dishwasher,1,0,0,1,6/16/2020 0:00,850000,9/17/2020,93,-0.017647059
"['415', 'Main', 'St', 'APT', '10E']",NY 10044,757500,1,1,682,2020,9,16,Condo,2007,,Central,Covered,,,,Other interior features,0,0,0,1,1/25/2019 0:00,880000,9/16/2020,600,-0.139204545
"['200', 'Rector', 'Pl', 'APT', '21J']",NY 10280,695000,1,1,597,2020,9,3,Condo,1987,Gas,,Covered,,,,Other interior features,1,0,0,1,3/5/2020 0:00,725000,9/3/2020,182,-0.04137931
"['10', 'W', 'End', 'Ave', 'APT', '21B']",NY 10023,1990000,2,2,1329,2020,9,2,Condo,2007,,Central,Covered,,,,Other interior features,1,0,0,1,3/4/2020 0:00,2195000,9/2/2020,182,-0.093394077
"['377', 'Rector', 'Pl', 'APT', '8H']",NY 10280,700000,1,1,676,2020,8,27,Condo,1985,,,"Garage - Detached, On-street",,,Flooring: Hardwood,Other interior features,1,0,0,1,1/4/2020 0:00,745000,8/27/2020,236,-0.060402685
"['635', 'W', '42nd', 'St', 'APT', '6G']",NY 10036,963888,1,1,758,2020,8,24,Condo,2007,Gas,,Covered,,,,Other interior features,1,0,0,1,1/15/2020 0:00,1100000,8/24/2020,222,-0.123738182
"['303', 'E', '33rd', 'St', 'APT', '8C']",NY 10016,1120000,2,1,1048,2020,8,21,Condo,2010,Forced air,Other,Garage - Attached,,,,Other interior features,1,0,0,1,7/26/2019 0:00,1538000,8/21/2020,392,-0.271781534
"['351', 'E', '51st', 'St', 'APT', '15C']",NY 10022,2480000,3,3,1752,2020,8,20,Condo,2000,,,Covered,,,,"Appliances included: Dishwasher, Dryer, Washer",0,0,0,1,4/7/2020 0:00,2650000,8/20/2020,135,-0.064150943
"['524', 'E', '72nd', 'St', 'APT', '27C']",NY 10021,1440000,2,2,1090,2020,8,11,Condo,1986,,,Covered,,,,Appliances included: Dishwasher,0,0,0,1,9/15/2019 0:00,1630000,8/11/2020,331,-0.116564417
"['603', 'W', '148th', 'St', 'APT', '4B']",NY 10031,845000,2,2,1152,2020,8,10,Multiple Occupancy,,Contact manager,Central,"None, Covered","Cats, Small Dogs, Dogs",In Unit,,"Appliances included: Dishwasher, Dryer, Washer",1,0,0,1,3/16/2020 0:00,859000,8/10/2020,147,-0.016298021
"['88', 'Greenwich', 'St', 'APT', '1808']",NY 10006,999000,1,1,950,2020,7,23,Condo,1929,,Central,Covered,,,,Other interior features,1,0,0,1,4/22/2019 0:00,1300000,7/23/2020,458,-0.231538462
"['220', 'Riverside', 'Blvd', 'APT', '6L']",NY 10069,1980000,2,2,1454,2020,7,20,Condo,2000,Gas,,"Garage - Detached, Covered",,,,"Appliances included: Dishwasher, Dryer, Washer",0,0,0,1,10/25/2019 0:00,2350000,7/20/2020,269,-0.157446809
"['825', 'W', 'End', 'Ave', '8', 'D']",NY 10025,1700000,3,2,1687,2020,7,20,Condo,1928,,,None,,,,"Appliances included: Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer",0,0,0,1,,,7/20/2020,no listing date,
"['630', '1st', 'Ave', 'APT', '32E']",NY 10016,1050000,2,2,913,2020,7,17,Condo,1984,,,"Garage - Attached, Covered",,,,Appliances included: Dishwasher,1,0,0,1,7/10/2019 0:00,1200000,7/17/2020,373,-0.125
"['55', 'Liberty', 'St', 'APT', '28C']",NY 10005,1270000,3,2,1750,2020,7,15,Condo,1911,,Central,0 spaces,,,,Other interior features,1,0,0,1,3/18/2020 0:00,1395000,7/15/2020,119,-0.089605735
"['3115', 'Broadway', 'APT', '55']",NY 10027,385000,1,1,500,2020,7,14,Multiple Occupancy,1920,,Other,0 spaces,,,,"Appliances included: Dryer, Washer",0,0,0,1,6/7/2014 0:00,295000,7/14/2020,2229,0.305084746
"['755', '759', 'W', 'End', 'Ave']",NY 10025,1800000,3,3,1900,2020,7,10,Condo,1925,,,None,,,,"Appliances included: Dishwasher, Dryer, Freezer, Microwave, Range / Oven, Refrigerator, Washer",0,0,0,1,,,7/10/2020,no listing date,
"['23', 'E', '10th', 'St', 'APT', '314']",NY 10003,1720000,2,2,,2020,7,10,Condo,1923,,,0 spaces,,,Flooring: Hardwood,"Appliances included: Dishwasher, Dryer, Washer",0,0,0,1,10/16/2013 0:00,1550000,7/10/2020,2459,0.109677419
"['300', 'W', '108th', 'St', 'APT', '14A']",NY 10025,2100000,2,2,1500,2020,7,1,Condo,1924,,,0 spaces,,,,"Appliances included: Range / Oven, Refrigerator, Washer",0,0,0,1,1/28/2020 0:00,1950000,7/1/2020,155,0.076923077
"['100', 'Riverside', 'Blvd', 'APT', '3A']",NY 10069,2750000,3,5,1080,2020,6,29,Condo,2008,,Central,0 spaces,,,,"Appliances included: Dishwasher, Dryer, Washer",1,0,0,1,2/4/2019 0:00,3690000,6/29/2020,511,-0.254742547
"['635', 'W', '42nd', 'St', 'APT', '39B']",NY 10036,1480000,2,2,1064,2020,6,23,Condo,2005,"Electric, Oil",Central,Garage - Attached,,,Flooring: Hardwood,"Appliances included: Dishwasher, Range / Oven, Refrigerator",0,0,0,1,3/18/2020 0:00,1475000,6/23/2020,97,0.003389831
"['400', 'E', '70th', 'St', 'APT', '3701']",NY 10021,1680000,2,3,1308,2020,6,23,Condo,1984,,Central,0 spaces,,,,Other interior features,1,0,0,1,6/16/2019 0:00,1849500,6/23/2020,373,-0.091646391
"['320', 'E', '42nd', 'St', 'APT', '2018']",NY 10017,620000,1,1,,2020,6,10,Condo,1929,,,Covered,,,,,0,0,0,1,1/14/2020 0:00,615000,6/10/2020,148,0.008130081
"['270', 'Broadway', '17DT']",NY 10007,2850000,2,2,1729,2020,6,8,Condo,1930,,,Covered,,,,"Appliances included: Dryer, Washer",1,0,0,1,12/18/2019 0:00,3495000,6/8/2020,173,-0.184549356
"['117', 'Beekman', 'St', '7A']",NY 10038,2350000,3,2,1660,2020,6,3,Condo,1983,,,Covered,,,,Appliances included: Dishwasher,1,0,0,1,10/8/2019 0:00,1625000,6/3/2020,239,0.446153846
"['111', 'Murray', 'St', '28B']",NY 10007,3900000,2,2,1581,2020,5,27,Condo,2018,,,Covered,,,,"Appliances included: Dishwasher, Dryer, Washer",1,0,0,1,11/24/2019 0:00,4700000,5/27/2020,185,-0.170212766
"['311', 'E', '38th', 'St', 'APT', '8B']",NY 10016,850000,1,1,639,2020,5,27,Single Family,1984,,,Covered,,,,"Appliances included: Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",1,0,0,1,1/17/2020 0:00,850000,5/27/2020,131,0
"['15', 'William', 'St', 'APT', '39E']",NY 10005,1730000,2,2,1300,2020,5,15,Condo,2008,,,"Garage - Attached, Covered",,,,"Appliances included: Dishwasher, Dryer, Washer",1,0,0,1,11/30/2018 0:00,1895000,5/15/2020,532,-0.08707124
"['603', 'W', '148th', 'St', 'APT', '10B']",NY 10031,913000,2,2,1037,2020,5,12,Condo,2007,,Central,None,,,Flooring: Hardwood,"Appliances included: Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer",1,0,0,1,,,5/12/2020,no listing date,
"['220', 'Riverside', 'Blvd', 'APT', '14K']",NY 10069,1430000,1,2,1044,2020,5,8,Condo,2002,"Wall, Electric",Wall,"Garage - Attached, Covered",,,Flooring: Hardwood,"Appliances included: Dishwasher, Dryer, Freezer, Microwave, Range / Oven, Refrigerator, Washer",1,0,0,1,10/18/2019 0:00,1495000,5/8/2020,203,-0.043478261
"['160', 'W', 'End', 'Ave', 'APT', '18G']",NY 10023,499000,,0,,2020,5,6,Condo,1963,"Electric, Gas",Central,0 spaces,,,,Appliances included: Dishwasher,0,0,0,1,12/17/2019 0:00,499000,5/6/2020,141,0
"['300', 'E', '59th', 'St', 'APT', '1807']",NY 10022,1080000,1,2,1100,2020,4,28,Single Family,1971,,,Garage - Attached,,,Flooring: Hardwood,Other interior features,1,0,0,1,12/11/2019 0:00,1095000,4/28/2020,139,-0.01369863
"['201', 'E', '36th', 'St', 'APT', '19D']",NY 10016,1300000,2,1,1150,2020,4,27,Condo,1963,,,Covered,,,,Appliances included: Dishwasher,1,0,0,1,10/29/2019 0:00,1350000,4/27/2020,181,-0.037037037
"['240', 'E', '47th', 'St', 'APT', '39C']",NY 10017,1700000,2,3,1433,2020,4,23,Condo,1982,,Central,Garage - Attached,,,Flooring: Hardwood,,1,0,0,1,1/8/2019 0:00,2150000,4/23/2020,471,-0.209302326
"['300', 'E', '54th', 'St', 'APT', '34A']",NY 10022,764000,1,1,,2020,4,10,Condo,1977,,,Covered,,,,Appliances included: Dishwasher,1,0,0,1,9/25/2019 0:00,779000,4/10/2020,198,-0.019255456
"['100', '11th', 'Ave', 'APT', '19B']",NY 10011,4950000,3,4,2674,2020,4,10,Condo,2007,,Central,Covered,,,,Other interior features,1,0,0,1,1/9/2018 0:00,7950000,4/10/2020,822,-0.377358491
"['340', 'E', '64th', 'St', 'APT', '21K']",NY 10065,1740000,2,3,1437,2020,3,31,Condo,1965,,,Covered,,,,Appliances included: Dishwasher,0,0,0,1,3/12/2019 0:00,2050000,3/31/2020,385,-0.151219512
"['555', 'W', '59th', 'St', 'APT', '22F']",NY 10019,2089999,2,2,1273,2020,3,23,Condo,2007,,,Covered,,,,"Appliances included: Dryer, Washer",1,0,0,1,4/11/2019 0:00,2270000,3/23/2020,347,-0.079295595
"['530', 'E', '76th', 'St', 'APT', '9K']",NY 10021,870000,1,1,780,2020,3,20,Condo,1986,,,Covered,,,,,0,0,0,1,8/15/2019 0:00,940000,3/20/2020,218,-0.074468085
"['70', 'Little', 'West', 'St', 'APT', '8E']",NY 10004,1950000,2,2,1488,2020,3,18,Condo,2008,,Central,"Garage - Attached, Off-street, On-street",,,,Other interior features,0,0,0,1,7/22/2019 0:00,2173000,3/18/2020,240,-0.102623102
"['99', 'John', 'St', 'APT', '1903']",NY 10038,1680000,2,2,1243,2020,3,16,Multiple Occupancy,2003,Forced air,Other,Garage - Detached,,,,"Appliances included: Dishwasher, Dryer, Washer",1,0,0,1,5/13/2019 0:00,1875000,3/16/2020,308,-0.104
"['15', 'William', 'St', 'APT', '25E']",NY 10005,1680000,2,2,1300,2020,3,16,Condo,2008,Gas,,Covered,,,,Other interior features,1,0,0,1,9/19/2019 0:00,1750000,3/16/2020,179,-0.04
"['969', 'Park', 'Ave', '2A']",NY 10028,2350000,3,4,128635,2020,3,16,Condo,1911,,Central,Covered,,,,Other interior features,0,0,0,1,6/25/2018 0:00,3475000,3/16/2020,630,-0.323741007
"['520', 'E', '76th', 'St', 'APT', '10G']",NY 10021,618000,1,1,,2020,3,11,Condo,1964,Gas,Central,Off-street,,,Flooring: Hardwood,"Appliances included: Dishwasher, Dryer, Freezer, Microwave, Range / Oven, Refrigerator, Washer",1,0,0,1,9/26/2019 0:00,618000,3/11/2020,167,0
"['418', 'E', '59th', 'St', 'APT', '28A']",NY 10022,1320000,2,3,1400,2020,3,10,Apartment,1988,,,Covered,,,,"Appliances included: Dryer, Washer",1,0,0,1,4/3/2019 0:00,1550000,3/10/2020,342,-0.148387097
"['325', '5th', 'Ave', 'APT', '42F']",NY 10016,1950000,2,2,1221,2020,3,5,Condo,2005,,,Covered,,,,"Appliances included: Dryer, Washer",1,0,0,1,7/16/2018 0:00,2499000,3/5/2020,598,-0.219687875
"['415', 'E', '37th', 'St', 'APT', '22J']",NY 10016,1070000,2,2,1085,2020,3,4,Condo,1989,,Central,Garage - Attached,,,,"Appliances included: Dishwasher, Freezer, Microwave, Range / Oven, Refrigerator",1,0,0,1,12/20/2018 0:00,1345000,3/4/2020,440,-0.204460967
"['444', 'E', '57th', 'St', 'APT', '15B']",NY 10022,1050000,1,2,1010,2020,3,3,Condo,1929,,,0 spaces,,,,Appliances included: Dishwasher,0,0,0,1,9/4/2019 0:00,1495000,3/3/2020,181,-0.297658863
"['115', 'Cabrini', 'Blvd', 'APT', 'B', '21']",NY 10033,500000,1,1,733,2020,3,3,Condo,1927,"Radiant, Oil",Wall,"On-street, Garage",,,,"Appliances included: Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",1,0,0,1,9/5/2019 0:00,525000,3/3/2020,180,-0.047619048
