id,zip_code,price,bds,ba,sqft,sold_year,sold_month,sold_day,type,year_built,heating,cooling,parking,pets,laundry,flooring,appliances,view_city,view_mountain,view_park,view_water,most_recent_listing_date,most_recent_listing_price,sold_time,listing_sold_time_diff,price_percent_change
"['361', 'Manhattan', 'Ave', 'B']",NY 10026,1250000,2,2,1435,2020,10,23,Condo,1887,,,Covered,,,,"Appliances included: Dishwasher, Dryer, Washer",0,0,1,0,6/29/2020 0:00,1350000,10/23/2020,116,-0.074074074
"['201', 'W', '70th', 'St', 'APT', '26F']",NY 10023,1340000,2,1,,2020,10,23,Condo,1971,,,Covered,,,,"Appliances included: Dishwasher, Dryer, Washer",1,0,1,0,1/22/2020 0:00,1350000,10/23/2020,275,-0.007407407
"['322', 'W', '57th', 'St', 'APT', '39H1']",NY 10019,3250000,2,3,1647,2020,10,22,Multiple Occupancy,,Contact manager,None,"Garage, None, Covered","Cats, Small Dogs, Dogs",In Unit,Flooring: Hardwood,"Appliances included: Dishwasher, Dryer, Washer",1,0,1,1,2/20/2019 0:00,4295000,10/22/2020,610,-0.24330617
"['188', 'E', '70th', 'St', 'APT', '26B']",NY 10021,2450000,2,3,1430,2020,10,22,Condo,1986,,Central,0 spaces,,,,Appliances included: Dishwasher,0,0,1,0,1/24/2020 0:00,2875000,10/22/2020,272,-0.147826087
"['250', 'S', 'End', 'Ave', 'APT', '3D']",NY 10280,605000,1,1,782,2020,10,19,Condo,1985,"Forced air, Electric",Central,Garage - Attached,,,,"Appliances included: Dishwasher, Range / Oven, Refrigerator",1,0,1,0,3/19/2020 0:00,699900,10/19/2020,214,-0.135590799
"['143', 'Avenue', 'B', 'APT', '5A']",NY 10009,1500000,1,1,993,2020,10,16,Condo,1928,,,0 spaces,,,,,1,0,1,0,7/21/2020 0:00,1500000,10/16/2020,87,0
"['320', 'E', '35th', 'St', 'APT', '6C']",NY 10016,420000,,,,2020,10,15,Condo,1962,,,Covered,,,,Appliances included: Dishwasher,0,0,1,0,2/26/2020 0:00,425000,10/15/2020,232,-0.011764706
"['400', 'Central', 'Park', 'W', 'APT', '10N']",NY 10025,1250000,1,1,887,2020,10,15,Condo,1961,,,Covered,,,,,1,0,1,0,2/15/2020 0:00,1325000,10/15/2020,243,-0.056603774
"['11', 'Riverside', 'Dr']",NY 10023,800000,2,2,689522,2020,10,9,Condo,1951,Forced air,Central,"Carport, Garage - Attached, Garage - Detached",,,,"Appliances included: Dishwasher, Microwave, Range / Oven, Refrigerator",0,0,1,0,4/29/2017 0:00,2495000,10/9/2020,1259,-0.679358717
"['157', 'W', '57th', 'St', 'APT', '38F']",NY 10019,8540000,3,4,2416,2020,10,9,Condo,2013,,Central,0 spaces,,,,Other interior features,1,0,1,1,5/10/2020 0:00,10950000,10/9/2020,152,-0.220091324
"['92', 'Horatio', 'St', 'APT', '3M']",NY 10014,622500,,,,2020,9,24,Condo,1920,,,0 spaces,,,,,0,0,1,0,2/3/2020 0:00,655000,9/24/2020,234,-0.049618321
"['10', 'Little', 'West', 'St', 'APT', '16D']",NY 10004,1030000,1,2,807,2020,9,17,Condo,2003,,,"Garage - Detached, Off-street",,,,"Appliances included: Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",1,0,1,1,7/8/2013 0:00,995000,9/17/2020,2628,0.035175879
"['351', 'W', '120th', 'St']",NY 10027,3950000,6,7,4800,2020,9,16,Townhouse,1899,"Baseboard, Other, Gas, Solar","Central, Solar",Garage - Detached,,,,"Appliances included: Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",1,0,1,0,8/6/2020 0:00,3995000,9/16/2020,41,-0.01126408
"['24', 'Cooper', 'St', 'APT', '5E']",NY 10034,260000,2,1,,2020,9,16,Condo,1925,,,0 spaces,,,Appliances,"Appliances included: Dryer, Microwave, Range / Oven, Refrigerator, Washer",1,0,1,0,7/19/2019 0:00,299000,9/16/2020,425,-0.130434783
"['100', 'Overlook', 'Ter', 'APT', '72']",NY 10040,499000,1,1,740,2020,9,11,Condo,1963,,,"Garage - Attached, On-street, Covered",,,"Flooring: Tile, Hardwood",Other interior features,1,0,1,0,1/1/2020 0:00,515000,9/11/2020,254,-0.031067961
"['860', '5th', 'Ave', 'APT', '6H']",NY 10065,3000000,2,2,,2020,9,10,Condo,1950,,Central,0 spaces,,,,"Appliances included: Dryer, Washer",0,0,1,0,12/5/2019 0:00,3950000,9/10/2020,280,-0.240506329
"['700', 'Park', 'Ave']",NY 10021,1650000,5,5,4000,2020,9,9,Multiple Occupancy,1959,,,"Garage, Garage - Attached, Covered",,,,Appliances included: Dishwasher,0,0,1,0,3/27/2015 0:00,5990000,9/9/2020,1993,-0.724540902
"['201', 'W', '70th', 'St', 'APT', '35K']",NY 10023,1760000,2,2,1100,2020,8,20,Condo,1971,"None, Heat pump",Wall,Garage - Attached,,,Flooring: Hardwood,"Appliances included: Dishwasher, Freezer, Microwave, Range / Oven, Refrigerator",1,0,1,1,11/25/2019 0:00,1895000,8/20/2020,269,-0.071240106
"['167', 'Perry', 'St', 'APT', '3N']",NY 10014,1160000,1,1,800,2020,8,20,Condo,1987,Gas,,Covered,,,,Other interior features,0,0,1,1,1/7/2019 0:00,1499000,8/20/2020,591,-0.226150767
"['285', 'Riverside', 'Dr', 'APT', '7C']",NY 10025,2400000,3,3,1900,2020,8,20,Condo,1940,,,Covered,,,,"Appliances included: Dishwasher, Dryer, Washer",0,0,1,1,9/24/2019 0:00,2695000,8/20/2020,331,-0.109461967
"['322', 'Central', 'Park', 'W', '4C']",NY 10025,2350000,2,3,120112,2020,8,19,Condo,1926,,,Covered,,,,Appliances included: Dishwasher,0,0,1,0,9/15/2019 0:00,2795000,8/19/2020,339,-0.15921288
"['15', 'W', '53rd', 'St', '26A']",NY 10019,3500000,2,3,2248,2020,8,12,Condo,1982,,,0 spaces,,,,"Appliances included: Dishwasher, Dryer, Washer",0,0,1,0,5/29/2015 0:00,5200000,8/12/2020,1902,-0.326923077
"['240', 'Riverside', 'Blvd', '10N', 'T']",NY 10069,850000,1,1,1059,2020,8,6,Condo,2004,,Central,0 spaces,,,,Other interior features,1,0,1,0,4/3/2017 0:00,1795000,8/6/2020,1221,-0.526462396
"['1170', '5th', 'Ave', '11C']",NY 10029,1800000,3,3,,2020,7,29,Condo,1926,,,0 spaces,,,,"Appliances included: Dishwasher, Dryer, Washer",0,0,1,0,5/1/2018 0:00,2600000,7/29/2020,820,-0.307692308
"['641', '5th', 'Ave', '29C']",NY 10022,1950000,2,2,1300,2020,7,29,Condo,1975,,,Covered,,,,Appliances included: Dishwasher,1,0,1,0,1/26/2020 0:00,2100000,7/29/2020,185,-0.071428571
"['300', 'E', '74th', 'St', 'APT', '36C']",NY 10021,1380000,1,2,1000,2020,7,28,Condo,1966,,,"Garage - Attached, Covered",,,,"Appliances included: Dryer, Washer",0,0,1,0,1/20/2020 0:00,1395000,7/28/2020,190,-0.010752688
"['400', 'Central', 'Park', 'W', 'APT', '12U']",NY 10025,718000,,9,,2020,7,23,Multiple Occupancy,1961,,Central,"None, Covered",,,,Appliances included: Dishwasher,0,0,1,0,10/28/2019 0:00,825000,7/23/2020,269,-0.12969697
"['7', 'Lexington', 'Ave']",NY 10010,650000,1,1,600,2020,7,20,Condo,1948,,,0 spaces,,,,Appliances included: Dishwasher,0,0,1,0,5/16/2015 0:00,1450000,7/20/2020,1892,-0.551724138
"['330', 'W', '72nd', 'St']",NY 10023,5000000,3,2,100056,2020,7,16,Condo,1927,,,0 spaces,,,,,0,0,1,0,,,7/16/2020,no listing date,
"['60', 'Riverside', 'Dr', 'APT', '18D']",NY 10024,2120000,2,3,,2020,7,15,Condo,1965,,,0 spaces,,,,,0,0,1,1,12/30/2019 0:00,2329000,7/15/2020,198,-0.089738085
"['425', 'E', '79th', 'St', 'APT', '7A']",NY 10075,408000,,,,2020,7,13,Condo,1955,,,0 spaces,,,Flooring: Hardwood,"Appliances included: Freezer, Microwave, Range / Oven, Refrigerator",0,0,1,1,10/15/2019 0:00,425000,7/13/2020,272,-0.04
"['214', '217', 'Riverside', 'Dr']",NY 10025,396500,1,1,600,2020,7,10,Condo,1902,"Wall, Oil",Wall,None,,,,,1,0,1,1,,,7/10/2020,no listing date,
"['370', 'Central', 'Park', 'W']",NY 10025,955000,2,2,84612,2020,7,9,Condo,1917,Forced air,Other,0 spaces,,,,Other interior features,0,0,1,0,5/21/2016 0:00,2300000,7/9/2020,1510,-0.584782609
"['161', 'W', '61st', 'St', 'APT', '34C']",NY 10023,1800000,2,2,1209,2020,7,7,Condo,1988,,Central,0 spaces,,,,Other interior features,1,0,1,1,10/20/2019 0:00,2275000,7/7/2020,261,-0.208791209
"['200', 'Chambers', 'St', 'APT', '26E']",NY 10007,2850000,2,3,1345,2020,7,1,Condo,2007,,,Covered,,,,Appliances included: Dishwasher,1,0,1,0,1/31/2020 0:00,2895000,7/1/2020,152,-0.015544041
"['10', 'W', '66th', 'St', 'APT', '31D']",NY 10023,2310000,2,2,1700,2020,7,1,Condo,1969,,Central,Garage - Attached,,,,Other interior features,1,0,1,0,7/10/2019 0:00,2900000,7/1/2020,357,-0.203448276
"['120', 'E', '87th', 'St', 'R24', 'A']",NY 10128,4050000,3,3,2100,2020,6,30,Condo,1981,Forced air,Other,Garage - Attached,,,,"Appliances included: Dryer, Washer",0,0,1,0,10/11/2019 0:00,4495000,6/30/2020,263,-0.098998888
"['585', 'W', '214th', 'St', 'APT', '2B']",NY 10034,395000,1,1,750,2020,6,29,Condo,1937,,,On-street,,,,"Appliances included: Dishwasher, Freezer, Microwave, Range / Oven, Refrigerator",0,0,1,1,1/15/2020 0:00,398500,6/29/2020,166,-0.008782936
"['175', 'W', '73rd', 'St', 'APT', '15D']",NY 10023,925000,1,1,,2020,6,26,Condo,1924,,,0 spaces,,,,Appliances included: Dishwasher,0,0,1,0,3/6/2020 0:00,895000,6/26/2020,112,0.033519553
"['375', 'Riverside', 'Dr', 'APT', '4E']",NY 10025,1570000,3,2,1150,2020,6,25,Condo,1921,,,0 spaces,,,,"Appliances included: Dishwasher, Dryer, Freezer, Microwave, Range / Oven, Refrigerator, Washer",1,0,1,0,9/23/2019 0:00,1550000,6/25/2020,276,0.012903226
